wave,enabled,full_name,github_repository_id,ecosystem,primary_language,license_spdx,default_branch,stars_snapshot,open_items_api,pushed_at_utc,community_health,has_contributing,has_code_of_conduct,has_issue_template_community_api,has_pr_template,open_good_first_issues,candidate_labels,pilot_role,code_access_policy,verified_on,notes
3,true,vercel/next.js,70107786,npm,JavaScript,MIT,canary,141102,4181,2026-07-15T16:52:49Z,0,true,true,false,false,10,"good first issue",language_coverage_expansion,tree_and_selected_files,2026-07-16,"JavaScript framework coverage; validate older issues through current GitHub state"
3,true,excalidraw/excalidraw,231283452,npm,TypeScript,MIT,master,127559,3206,2026-07-15T15:13:17Z,0,true,true,false,false,10,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"TypeScript newcomer source with feature bug i18n and refactor tasks"
3,true,quarkusio/quarkus,139914932,maven,Java,Apache-2.0,main,15773,2827,2026-07-15T14:45:51Z,0,true,true,false,false,10,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Java newcomer source with testing documentation feature and tooling tasks"
3,true,elastic/elasticsearch,507775,maven,Java,NOASSERTION,main,77637,5860,2026-07-15T16:43:57Z,0,true,true,false,false,10,"good first issue",language_coverage_expansion,metadata_only_pending_license_review,2026-07-16,"Java growth and newcomer coverage; manually review repository licensing before code access"
3,true,apache/dubbo,4710920,maven,Java,Apache-2.0,3.3,41529,999,2026-07-14T02:34:05Z,0,true,true,false,false,5,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Java newcomer source covering bugs performance scripts samples and website work"
3,true,kubernetes/kubernetes,20580498,go,Go,Apache-2.0,master,123809,2758,2026-07-15T15:29:29Z,0,true,true,false,false,10,"good first issue|help wanted|triage/accepted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Go coverage with formal help-wanted and good-first-issue process"
3,true,prometheus/prometheus,6838921,go,Go,Apache-2.0,main,65231,876,2026-07-15T15:36:45Z,0,true,true,false,false,4,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Go newcomer and growth coverage across bugs documentation features and storage"
3,true,nushell/nushell,186024298,cargo,Rust,MIT,main,40022,1429,2026-07-15T13:46:00Z,0,true,true,false,false,10,"good first issue|help wanted|status:ready-to-implement",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Rust newcomer source with documentation testing feature and platform tasks"
3,true,rust-lang/rust-clippy,26850443,cargo,Rust,Apache-2.0,master,13364,2850,2026-07-15T12:25:06Z,0,true,true,false,false,20,"good first issue",language_coverage_expansion,tree_and_selected_files,2026-07-16,"High-volume maintained Rust newcomer issue source"
3,true,facebook/pyrefly,935685654,cargo,Rust,MIT,main,6780,707,2026-07-15T14:53:10Z,0,true,true,false,false,5,"good first issue|help wanted",language_coverage_expansion,tree_and_selected_files,2026-07-16,"Rust implementation with type-checking documentation and IDE newcomer tasks"
4,true,pytorch/ao,714073518,pypi,Python,NOASSERTION,main,2901,797,2026-07-16T08:01:22Z,0,true,true,false,false,20,"good first issue|help wanted",zero_combination_fill,metadata_only_pending_license_review,2026-07-16,"Current contribute page includes an explicit newcomer refactor task; sync 100 to retain older open targets"
4,true,pytorch/pytorch,65600975,pypi,Python,NOASSERTION,main,101849,18355,2026-07-16T09:39:24Z,0,true,true,false,false,40,"good first issue|OSS contribution wanted",zero_combination_fill,metadata_only_pending_license_review,2026-07-16,"Current contribute page includes multiple explicit Python refactor newcomer tasks"
4,true,nodejs/undici,133092972,npm,JavaScript,MIT,main,7646,321,2026-07-16T09:22:19Z,0,true,true,false,false,14,"good first issue|Status: help-wanted",zero_combination_fill,tree_and_selected_files,2026-07-16,"Current contribute page lists multiple good-first-issue enhancement tasks for JavaScript feature coverage"
4,true,trinodb/trino,166515022,maven,Java,Apache-2.0,master,13028,2639,2026-07-16T08:32:10Z,0,true,true,false,false,50,"good first issue",zero_combination_fill,tree_and_selected_files,2026-07-16,"Current contribute page includes an explicit Java refactor newcomer task"
4,true,jenkinsci/jenkins,1103607,maven,Java,MIT,master,25668,3594,2026-07-16T06:48:11Z,0,true,true,false,false,30,"good first issue",zero_combination_fill,tree_and_selected_files,2026-07-16,"Adds a second Java newcomer source with an open cleanup task; sync 100 because the target is older"
5,true,apache/pinot,19961085,maven,Java,Apache-2.0,master,6109,1472,2026-07-15T18:03:49Z,0,true,true,false,false,50,"good first issue|help wanted",java_newcomer_refactor_fill,tree_and_selected_files,2026-07-16,"Current contribute page contains multiple unassigned Java refactor and cleanup good-first issues, providing redundancy for the last zero combination"
